GazeX;GazeY;HeadX;HeadY;HeadZ;HeadYaw;HeadPitch;HeadRoll;rx;ry;rw;rh;state;time;FrameNr;Xview;Yview;docX;docY
559.6;28.4;-0.6;-5;50.2;-3.9;11.9;-0.3;234;143;171;171;0;1,59509E+12;868;0.40966325036603224;-0.012968036529680368;559.6;-8.520.000.000.000.000
593.8;38.6;-0.6;-5;50;-4.2;12.1;-0.4;234;143;171;171;0;1,59509E+12;869;0.43469985358711566;-0.009863013698630138;593.8;-6.48
614.4;39.8;-0.6;-5;49.8;-3.4;12.5;-0.6;234;143;171;171;0;1,59509E+12;870;0.44978038067349924;-0.00949771689497717;614.4;-6.240.000.000.000.000
638.2;49;-0.6;-5;49.7;-3.7;13.1;-0.2;234;143;171;171;0;1,59509E+12;871;0.46720351390922404;-0.006697108066971081;638.2;-4.4
642;62;-0.6;-5;49.9;-4.1;12.3;-0.3;234;143;171;171;0;1,59509E+12;872;0.4699853587115666;-0.0027397260273972603;642;-1.8
631.4;68.2;-0.6;-4.9;49.9;-4.2;12.4;-0.2;234;143;171;171;0;1,59509E+12;873;0.46222547584187407;-0.0008523592085235913;631.4;-0.5599999999999995
620.4;83.4;-0.6;-4.9;50;-4.1;12.1;0.1;234;143;171;171;0;1,59509E+12;874;0.4541727672035139;0.01887366818873669;620.4;12.400.000.000.000.000
625.2;83.8;-0.5;-5;50.2;-4.1;11.8;-0.1;232;148;172;172;0;1,59509E+12;875;0.45768667642752564;0.019482496194824957;625.2;12.799.999.999.999.900
621.2;79.6;-0.4;-4.9;50.2;-4.2;11.1;0;232;147;172;172;0;1,59509E+12;876;0.4547584187408492;0.013089802130898012;621.2;8.599.999.999.999.990
609.2;74.6;-0.4;-5;50.2;-4.2;11.9;0.3;232;147;172;172;0;1,59509E+12;877;0.44597364568081993;0.005479452054794512;609.2;35.999.999.999.999.900
602.4;78.8;-0.4;-5;50.1;-4.2;12.3;-0.9;232;147;172;172;0;1,59509E+12;878;0.44099560761346995;0.011872146118721456;602.4;7.799.999.999.999.990
616.4;79.2;-0.5;-5;50.3;-3.9;12.3;-0.4;232;147;172;172;0;1,59509E+12;879;0.4512445095168375;0.012480974124809745;616.4;8.200.000.000.000.000
618.6;80.6;-0.6;-5;50.2;-3.7;12.4;-0.6;232;147;172;172;0;1,59509E+12;880;0.45285505124450953;0.014611872146118712;618.6;9.599.999.999.999.990
636;73.6;-0.6;-5.1;50.3;-3.8;11.8;0.1;232;147;172;172;0;1,59509E+12;881;0.465592972181552;0.003957382039573812;636;25.999.999.999.999.900
663.8;73.6;-0.7;-5.1;50.6;-4.3;12.1;0.1;232;147;172;172;0;1,59509E+12;882;0.4859443631039531;0.003957382039573812;663.8;25.999.999.999.999.900
664.8;67;-0.7;-5.1;50.5;-4.3;11.5;0.1;232;147;172;172;0;1,59509E+12;883;0.48667642752562223;-0.0012176560121765602;664.8;-0.8
655.6;52.2;-0.7;-5.1;50.4;-4.1;12.4;-0.4;232;147;172;172;0;1,59509E+12;884;0.4799414348462665;-0.005722983257229832;655.6;-3.76
623.4;52.6;-0.7;-5.1;50.3;-4.1;12.4;0;232;147;172;172;0;1,59509E+12;885;0.4563689604685212;-0.005601217656012176;623.4;-36.799.999.999.999.900
598;56.6;-0.6;-5.1;50.4;-4.3;12.1;0.2;232;147;172;172;0;1,59509E+12;886;0.4377745241581259;-0.004383561643835616;598;-2.88
